Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,35 Mbps,36 Mbps,40 Mbps,41 Mbps,45 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,59 Mbps,60 Mbps,61 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,80 Mbps,85 Mbps,90 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps,4000 Mbps,10000 Mbps
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,318.6145631067961,2.944444444444445,2.0,2.100952380952381,19.0,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,85.0,3,145.0,141.3720930232558,83,112.2197916666667,76.0,5,142.1295336787565,53,299.0,82.54901960784314,288.0,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,415.0,227.2777777777778,2,75.44444444444444,1797.0,1,1,1,10,688.6111111111111,144.0,311,13,1,1,1501.0,322.2,16,88.8,12.5,27.0,5,14.5,212.25,1,647.0,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,9.0,16,2012.8,1,30,693.0,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,95.0,13.5,2,115,73.5,235.6153846153846,1,2.5,3.0,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,142.751582278481,3,334.4837837837838,141.3720930232558,83,112.2197916666667,234.5731254639941,5,142.1295336787565,53,297.0714285714286,82.54901960784314,59.0,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,243.4663023679417,227.2777777777778,2,75.44444444444444,5.0,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,2099.958005249344,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Del Valle,6854020,318.6145631067961,2.944444444444445,1.0,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,181.0,3,334.4837837837838,141.3720930232558,83,112.2197916666667,234.5731254639941,5,142.1295336787565,53,297.0714285714286,82.54901960784314,10.0,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,243.4663023679417,227.2777777777778,2,75.44444444444444,258.0949248120301,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,2099.958005249344,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Ernestina,6854030,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,142.751582278481,3,334.4837837837838,141.3720930232558,83,75.0,234.5731254639941,5,142.1295336787565,53,297.0714285714286,82.54901960784314,425.5693641618497,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,243.4663023679417,227.2777777777778,2,75.44444444444444,258.0949248120301,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,2099.958005249344,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,106.0,18,156.5,3.0,3,334.4837837837838,56.0,83,7.0,3.0,5,142.1295336787565,53,4.0,82.54901960784314,1.0,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,243.4663023679417,227.2777777777778,2,75.44444444444444,258.0949248120301,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,2099.958005249344,402,9,2.5,64,59,381.3481481481481,26,1.0,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,5.0,3,334.4837837837838,141.3720930232558,83,112.2197916666667,234.5731254639941,5,142.1295336787565,53,297.0714285714286,82.54901960784314,425.5693641618497,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,243.4663023679417,227.2777777777778,2,75.44444444444444,258.0949248120301,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,2099.958005249344,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,174.0,18,156.5,32.0,3,334.4837837837838,9.0,83,8.0,914.0,5,142.1295336787565,53,297.0714285714286,82.54901960784314,2.0,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,322.0,227.2777777777778,2,75.44444444444444,258.0949248120301,1,1,1,10,688.6111111111111,29.0,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,20.0,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Pedernales,6854070,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,142.751582278481,3,334.4837837837838,141.3720930232558,83,112.2197916666667,2.0,5,142.1295336787565,53,297.0714285714286,82.54901960784314,177.0,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,3.0,227.2777777777778,2,75.44444444444444,258.0949248120301,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,25.0,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,San Enrique,6854080,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,142.751582278481,3,334.4837837837838,141.3720930232558,83,112.2197916666667,234.5731254639941,5,142.1295336787565,53,297.0714285714286,82.54901960784314,425.5693641618497,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,243.4663023679417,227.2777777777778,2,75.44444444444444,11.0,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,2099.958005249344,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
BUENOS AIRES,25 de Mayo,Valdés,6854090,318.6145631067961,2.944444444444445,42.97819314641745,2.100952380952381,39.58802816901409,66.64220183486239,132.5333333333333,101.4283604135894,18,156.5,142.751582278481,3,334.4837837837838,141.3720930232558,83,112.2197916666667,234.5731254639941,5,142.1295336787565,53,297.0714285714286,82.54901960784314,245.0,18,53,5.37037037037037,410.5463576158941,15,23.71428571428572,7.962962962962963,243.4663023679417,227.2777777777778,2,75.44444444444444,18.0,1,1,1,10,688.6111111111111,430.1797235023042,311,13,1,1,1350.990553306343,322.2,16,88.8,12.5,166.9736842105263,5,14.5,212.25,1,2099.958005249344,402,9,2.5,64,59,381.3481481481481,26,30.33333333333333,1,371.65,32.78974358974359,424.3666666666667,16,2012.8,1,30,3581.173354735152,1,16,7,1,261.0666666666667,34,2.5,1,1,2471.568093385214,28,243.2,1,1,463,301.8493150684931,3,1,1,1,243.1666666666667,41,190.7222222222222,5,1,5058.258426966292,13.5,2,115,73.5,235.6153846153846,1,2.5,670.061320754717,110.5,40,89,191.6477987421384,5,1,153.5,1,110,3.352941176470588,609.6833333333333,1,1,5
