Año,Trimestre,Provincia,Accesos por cada 100 hogares
2024,1,Buenos Aires,81.1
2024,1,Capital Federal,119.53
2024,1,Catamarca,68.82
2024,1,Chaco,46.7
2024,1,Chubut,84.89
2024,1,Córdoba,90.7
2024,1,Corrientes,51.94
2024,1,Entre Ríos,69.31
2024,1,Formosa,39.61
2024,1,Jujuy,57.65
2024,1,La Pampa,100.49
2024,1,La Rioja,80.03
2024,1,Mendoza,52.59
2024,1,Misiones,56.76
2024,1,Neuquén,79.5
2024,1,Río Negro,71.14
2024,1,Salta,56.3
2024,1,San Juan,51.62
2024,1,San Luis,102.7
2024,1,Santa Cruz,67.58
2024,1,Santa Fe,80.4
2024,1,Santiago Del Estero,49.41
2024,1,Tierra Del Fuego,109.78
2024,1,Tucumán,60.48
2023,4,Buenos Aires,80.96
2023,4,Capital Federal,117.02
2023,4,Catamarca,68.63
2023,4,Chaco,44.35
2023,4,Chubut,84.96
2023,4,Córdoba,90.67
2023,4,Corrientes,52.56
2023,4,Entre Ríos,69.94
2023,4,Formosa,39.23
2023,4,Jujuy,57.78
2023,4,La Pampa,99.96
2023,4,La Rioja,80.22
2023,4,Mendoza,52.15
2023,4,Misiones,56.27
2023,4,Neuquén,79.91
2023,4,Río Negro,70.26
2023,4,Salta,56.98
2023,4,San Juan,50.08
2023,4,San Luis,102.07
2023,4,Santa Cruz,73.75
2023,4,Santa Fe,79.75
2023,4,Santiago Del Estero,49.08
2023,4,Tierra Del Fuego,110.49
2023,4,Tucumán,61.04
2023,3,Buenos Aires,80.64
2023,3,Capital Federal,116.4
2023,3,Catamarca,68.55
2023,3,Chaco,42.87
2023,3,Chubut,84.23
2023,3,Córdoba,90.05
2023,3,Corrientes,52.78
2023,3,Entre Ríos,68.84
2023,3,Formosa,38.86
2023,3,Jujuy,57.61
2023,3,La Pampa,99.0
2023,3,La Rioja,80.44
2023,3,Mendoza,52.03
2023,3,Misiones,55.51
2023,3,Neuquén,79.97
2023,3,Río Negro,68.4
2023,3,Salta,57.57
2023,3,San Juan,50.45
2023,3,San Luis,98.55
