Año,Trimestre,Total,Nuevo Acceso,KPI_Aumento_Acceso
2014,1,6398398,6464468.0,1.0326022232440057
2014,2,6464468,6595271.0,2.02341476514386
2014,3,6595271,6598496.0,0.048898673003732525
2014,4,6598496,6737732.0,2.1101172145895064
2015,1,6737732,6816188.0,1.1644274364133214
2015,2,6816188,6935068.0,1.7440833498137083
2015,3,6935068,6984831.0,0.7175560499190491
2015,4,6984831,6907356.0,-1.1091893275585336
2016,1,6907356,7130079.0,3.224432040277061
2016,2,7130079,7206950.0,1.0781226968172444
2016,3,7206950,7251673.0,0.6205537710127029
2016,4,7251673,7305854.0,0.7471517262292439
2017,1,7305854,7429664.0,1.694668412481279
2017,2,7429664,7724943.0,3.9743250838799713
2017,3,7724943,7870222.0,1.8806481808344735
2017,4,7870222,8037053.0,2.1197750203234422
2018,1,8037053,8110444.0,0.9131580941422185
2018,2,8110444,8347035.0,2.917115265206196
2018,3,8347035,8473655.0,1.5169458376537297
2018,4,8473655,8648135.0,2.0590878434394604
2019,1,8648135,8960181.0,3.6082461709952494
2019,2,8960181,9164684.0,2.282353447993964
2019,3,9164684,8793181.0,-4.053636764780979
2019,4,8793181,8812426.0,0.2188627755985007
2020,1,8812426,9031056.0,2.4809286341808714
2020,2,9031056,9356199.0,3.600276645388978
2020,3,9356199,9571562.0,2.3018214982387613
2020,4,9571562,9647972.0,0.7983023042634003
2021,1,9647972,9863084.0,2.2296084607210718
2021,2,9863084,10085541.0,2.255450729203969
2021,3,10085541,10489794.0,4.008243087802628
2021,4,10489794,10624009.0,1.2794817515005539
2022,1,10624009,10958684.0,3.150176171725758
2022,2,10958684,11091128.0,1.2085757742444256
2022,3,11091128,11208114.0,1.05477098452024
2022,4,11208114,11241895.0,0.30139771954496536
2023,1,11241895,11251897.0,0.08897076516014427
2023,2,11251897,11406908.0,1.377643254288588
