Año,Trimestre,Provincia,Mbps (Media de bajada),Rango Velocidad
2024,1,Buenos Aires,159.13,100-200 Mbps
2024,1,Capital Federal,229.94,200+ Mbps
2024,1,Catamarca,91.45,50-100 Mbps
2024,1,Chaco,107.51,100-200 Mbps
2024,1,Chubut,20.5,10-50 Mbps
2024,1,Córdoba,114.89,100-200 Mbps
2024,1,Corrientes,102.49,100-200 Mbps
2024,1,Entre Ríos,101.36,100-200 Mbps
2024,1,Formosa,83.8,50-100 Mbps
2024,1,Jujuy,47.52,10-50 Mbps
2024,1,La Pampa,26.55,10-50 Mbps
2024,1,La Rioja,63.71,50-100 Mbps
2024,1,Mendoza,51.85,50-100 Mbps
2024,1,Misiones,94.98,50-100 Mbps
2024,1,Neuquén,98.16,50-100 Mbps
2024,1,Río Negro,75.0,50-100 Mbps
2024,1,Salta,84.34,50-100 Mbps
2024,1,San Juan,30.58,10-50 Mbps
2024,1,San Luis,179.49,100-200 Mbps
2024,1,Santa Cruz,31.6,10-50 Mbps
2024,1,Santa Fe,100.2,100-200 Mbps
2024,1,Santiago Del Estero,44.9,10-50 Mbps
2024,1,Tierra Del Fuego,21.54,10-50 Mbps
2024,1,Tucumán,103.36,100-200 Mbps
2023,4,Buenos Aires,158.49,100-200 Mbps
2023,4,Capital Federal,234.44,200+ Mbps
2023,4,Catamarca,89.4,50-100 Mbps
2023,4,Chaco,107.14,100-200 Mbps
2023,4,Chubut,20.29,10-50 Mbps
2023,4,Córdoba,114.03,100-200 Mbps
2023,4,Corrientes,100.9,100-200 Mbps
2023,4,Entre Ríos,101.18,100-200 Mbps
2023,4,Formosa,83.35,50-100 Mbps
2023,4,Jujuy,46.2,10-50 Mbps
2023,4,La Pampa,25.61,10-50 Mbps
2023,4,La Rioja,64.18,50-100 Mbps
2023,4,Mendoza,49.46,10-50 Mbps
2023,4,Misiones,93.65,50-100 Mbps
2023,4,Neuquén,99.63,50-100 Mbps
2023,4,Río Negro,74.37,50-100 Mbps
2023,4,Salta,83.04,50-100 Mbps
2023,4,San Juan,24.78,10-50 Mbps
2023,4,San Luis,174.59,100-200 Mbps
2023,4,Santa Cruz,36.77,10-50 Mbps
2023,4,Santa Fe,99.81,50-100 Mbps
2023,4,Santiago Del Estero,44.22,10-50 Mbps
2023,4,Tierra Del Fuego,17.92,10-50 Mbps
2023,4,Tucumán,101.55,100-200 Mbps
2023,3,Buenos Aires,146.84,100-200 Mbps
2023,3,Capital Federal,218.13,200+ Mbps
2023,3,Catamarca,87.9,50-100 Mbps
2023,3,Chaco,107.5,100-200 Mbps
2023,3,Chubut,19.26,10-50 Mbps
2023,3,Córdoba,111.5,100-200 Mbps
2023,3,Corrientes,99.64,50-100 Mbps
2023,3,Entre Ríos,96.26,50-100 Mbps
2023,3,Formosa,80.29,50-100 Mbps
2023,3,Jujuy,44.55,10-50 Mbps
2023,3,La Pampa,24.21,10-50 Mbps
2023,3,La Rioja,63.84,50-100 Mbps
2023,3,Mendoza,46.96,10-50 Mbps
2023,3,Misiones,91.49,50-100 Mbps
2023,3,Neuquén,96.57,50-100 Mbps
2023,3,Río Negro,70.93,50-100 Mbps
2023,3,Salta,80.8,50-100 Mbps
2023,3,San Juan,24.45,10-50 Mbps
2023,3,San Luis,104.97,100-200 Mbps
2023,3,Santa Cruz,15.67,10-50 Mbps
2023,3,Santa Fe,97.39,50-100 Mbps
2023,3,Santiago Del Estero,41.46,10-50 Mbps
2023,3,Tierra Del Fuego,17.17,10-50 Mbps
2023,3,Tucumán,98.85,50-100 Mbps
2023,2,Buenos Aires,138.35,100-200 Mbps
2023,2,Capital Federal,208.01,200+ Mbps
2023,2,Catamarca,86.13,50-100 Mbps
2023,2,Chaco,105.45,100-200 Mbps
2023,2,Chubut,18.58,10-50 Mbps
2023,2,Córdoba,111.82,100-200 Mbps
2023,2,Corrientes,97.21,50-100 Mbps
2023,2,Entre Ríos,89.37,50-100 Mbps
2023,2,Formosa,77.32,50-100 Mbps
2023,2,Jujuy,43.56,10-50 Mbps
2023,2,La Pampa,22.78,10-50 Mbps
2023,2,La Rioja,63.55,50-100 Mbps
2023,2,Mendoza,42.69,10-50 Mbps
2023,2,Misiones,90.55,50-100 Mbps
2023,2,Neuquén,93.97,50-100 Mbps
2023,2,Río Negro,70.76,50-100 Mbps
2023,2,Salta,79.1,50-100 Mbps
2023,2,San Juan,20.39,10-50 Mbps
2023,2,San Luis,103.84,100-200 Mbps
2023,2,Santa Cruz,15.48,10-50 Mbps
2023,2,Santa Fe,94.87,50-100 Mbps
2023,2,Santiago Del Estero,37.62,10-50 Mbps
2023,2,Tierra Del Fuego,16.92,10-50 Mbps
2023,2,Tucumán,96.69,50-100 Mbps
2023,1,Buenos Aires,116.18,100-200 Mbps
2023,1,Capital Federal,188.65,100-200 Mbps
2023,1,Catamarca,87.41,50-100 Mbps
2023,1,Chaco,104.33,100-200 Mbps
2023,1,Chubut,18.36,10-50 Mbps
2023,1,Córdoba,109.57,100-200 Mbps
2023,1,Corrientes,94.8,50-100 Mbps
2023,1,Entre Ríos,86.71,50-100 Mbps
2023,1,Formosa,73.96,50-100 Mbps
2023,1,Jujuy,42.75,10-50 Mbps
2023,1,La Pampa,20.09,10-50 Mbps
2023,1,La Rioja,63.13,50-100 Mbps
2023,1,Mendoza,41.45,10-50 Mbps
2023,1,Misiones,89.81,50-100 Mbps
2023,1,Neuquén,93.42,50-100 Mbps
2023,1,Río Negro,74.4,50-100 Mbps
2023,1,Salta,76.85,50-100 Mbps
2023,1,San Juan,18.7,10-50 Mbps
2023,1,San Luis,55.85,50-100 Mbps
2023,1,Santa Cruz,14.98,10-50 Mbps
2023,1,Santa Fe,92.22,50-100 Mbps
2023,1,Santiago Del Estero,36.27,10-50 Mbps
2023,1,Tierra Del Fuego,14.58,10-50 Mbps
2023,1,Tucumán,95.79,50-100 Mbps
2022,4,Buenos Aires,111.0,100-200 Mbps
2022,4,Capital Federal,182.86,100-200 Mbps
2022,4,Catamarca,83.33,50-100 Mbps
2022,4,Chaco,104.02,100-200 Mbps
2022,4,Chubut,15.92,10-50 Mbps
2022,4,Córdoba,108.77,100-200 Mbps
2022,4,Corrientes,94.72,50-100 Mbps
2022,4,Entre Ríos,87.47,50-100 Mbps
2022,4,Formosa,72.03,50-100 Mbps
2022,4,Jujuy,39.32,10-50 Mbps
2022,4,La Pampa,19.1,10-50 Mbps
2022,4,La Rioja,61.0,50-100 Mbps
2022,4,Mendoza,38.76,10-50 Mbps
2022,4,Misiones,91.24,50-100 Mbps
2022,4,Neuquén,95.37,50-100 Mbps
2022,4,Río Negro,75.31,50-100 Mbps
2022,4,Salta,75.93,50-100 Mbps
2022,4,San Juan,16.39,10-50 Mbps
2022,4,San Luis,30.67,10-50 Mbps
2022,4,Santa Cruz,14.33,10-50 Mbps
2022,4,Santa Fe,90.3,50-100 Mbps
2022,4,Santiago Del Estero,34.4,10-50 Mbps
2022,4,Tierra Del Fuego,13.48,10-50 Mbps
2022,4,Tucumán,88.33,50-100 Mbps
2022,3,Buenos Aires,70.19,50-100 Mbps
2022,3,Capital Federal,101.05,100-200 Mbps
2022,3,Catamarca,60.99,50-100 Mbps
2022,3,Chaco,53.21,50-100 Mbps
2022,3,Chubut,15.57,10-50 Mbps
2022,3,Córdoba,56.32,50-100 Mbps
2022,3,Corrientes,45.07,10-50 Mbps
2022,3,Entre Ríos,42.49,10-50 Mbps
2022,3,Formosa,30.35,10-50 Mbps
2022,3,Jujuy,32.43,10-50 Mbps
2022,3,La Pampa,18.1,10-50 Mbps
2022,3,La Rioja,44.3,10-50 Mbps
2022,3,Mendoza,34.16,10-50 Mbps
2022,3,Misiones,49.3,10-50 Mbps
2022,3,Neuquén,47.81,10-50 Mbps
2022,3,Río Negro,34.13,10-50 Mbps
2022,3,Salta,41.33,10-50 Mbps
2022,3,San Juan,15.84,10-50 Mbps
2022,3,San Luis,19.33,10-50 Mbps
2022,3,Santa Cruz,12.6,10-50 Mbps
2022,3,Santa Fe,45.15,10-50 Mbps
2022,3,Santiago Del Estero,17.69,10-50 Mbps
2022,3,Tierra Del Fuego,11.01,10-50 Mbps
2022,3,Tucumán,53.36,50-100 Mbps
2022,2,Buenos Aires,65.5,50-100 Mbps
2022,2,Capital Federal,93.97,50-100 Mbps
2022,2,Catamarca,56.56,50-100 Mbps
2022,2,Chaco,50.61,50-100 Mbps
2022,2,Chubut,14.91,10-50 Mbps
2022,2,Córdoba,53.51,50-100 Mbps
2022,2,Corrientes,43.31,10-50 Mbps
2022,2,Entre Ríos,40.03,10-50 Mbps
2022,2,Formosa,28.47,10-50 Mbps
2022,2,Jujuy,29.39,10-50 Mbps
2022,2,La Pampa,16.07,10-50 Mbps
2022,2,La Rioja,43.28,10-50 Mbps
2022,2,Mendoza,29.72,10-50 Mbps
2022,2,Misiones,46.23,10-50 Mbps
2022,2,Neuquén,46.53,10-50 Mbps
2022,2,Río Negro,33.26,10-50 Mbps
2022,2,Salta,38.77,10-50 Mbps
2022,2,San Juan,14.44,10-50 Mbps
2022,2,San Luis,19.32,10-50 Mbps
2022,2,Santa Cruz,11.81,10-50 Mbps
2022,2,Santa Fe,42.01,10-50 Mbps
2022,2,Santiago Del Estero,16.34,10-50 Mbps
2022,2,Tierra Del Fuego,10.97,10-50 Mbps
2022,2,Tucumán,50.09,50-100 Mbps
2022,1,Buenos Aires,62.51,50-100 Mbps
2022,1,Capital Federal,88.22,50-100 Mbps
2022,1,Catamarca,51.22,50-100 Mbps
2022,1,Chaco,45.84,10-50 Mbps
2022,1,Chubut,13.4,10-50 Mbps
2022,1,Córdoba,49.89,10-50 Mbps
2022,1,Corrientes,38.11,10-50 Mbps
2022,1,Entre Ríos,35.59,10-50 Mbps
2022,1,Formosa,30.28,10-50 Mbps
2022,1,Jujuy,27.69,10-50 Mbps
2022,1,La Pampa,14.84,10-50 Mbps
2022,1,La Rioja,41.37,10-50 Mbps
2022,1,Mendoza,26.2,10-50 Mbps
2022,1,Misiones,41.87,10-50 Mbps
2022,1,Neuquén,43.05,10-50 Mbps
2022,1,Río Negro,31.09,10-50 Mbps
2022,1,Salta,36.71,10-50 Mbps
2022,1,San Juan,11.99,10-50 Mbps
2022,1,San Luis,20.95,10-50 Mbps
2022,1,Santa Cruz,10.89,10-50 Mbps
2022,1,Santa Fe,38.89,10-50 Mbps
2022,1,Santiago Del Estero,14.5,10-50 Mbps
2022,1,Tierra Del Fuego,10.73,10-50 Mbps
2022,1,Tucumán,47.24,10-50 Mbps
2021,4,Buenos Aires,60.2091238315554,50-100 Mbps
2021,4,Capital Federal,82.94995496542248,50-100 Mbps
2021,4,Catamarca,46.3800577589391,10-50 Mbps
2021,4,Chaco,42.3426375146886,10-50 Mbps
2021,4,Chubut,9.082660638555467,0-10 Mbps
2021,4,Córdoba,46.36090745799214,10-50 Mbps
2021,4,Corrientes,35.77265919428704,10-50 Mbps
2021,4,Entre Ríos,33.31712584167462,10-50 Mbps
2021,4,Formosa,28.75764894769421,10-50 Mbps
2021,4,Jujuy,27.14434303841708,10-50 Mbps
2021,4,La Pampa,13.85388284285439,10-50 Mbps
2021,4,La Rioja,39.69594513667998,10-50 Mbps
2021,4,Mendoza,22.23158340100516,10-50 Mbps
2021,4,Misiones,38.90334925090757,10-50 Mbps
2021,4,Neuquén,40.09253011116758,10-50 Mbps
2021,4,Río Negro,27.20317045489215,10-50 Mbps
2021,4,Salta,33.94063974498523,10-50 Mbps
2021,4,San Juan,11.05274930815778,10-50 Mbps
2021,4,San Luis,20.90972444801464,10-50 Mbps
2021,4,Santa Cruz,8.990650984477549,0-10 Mbps
2021,4,Santa Fe,36.02402383727514,10-50 Mbps
2021,4,Santiago Del Estero,13.84088684951507,10-50 Mbps
